,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP	
210561,GEOMETRIC,EQ,84.25,86.45,83.4,83.9,83.9,84.7,186871,15861081.55,27-NOV-2013	
211912,GEOMETRIC,EQ,154.4,157.45,150.8,152.15,151.9,153.55,684644,105454822.8,19-SEP-2014	
213885,GEOMETRIC,EQ,64.6,67.2,63.6,66.75,66.85,63.3,144193,9490605.3,20-APR-2011	
215720,GEOMETRIC,EQ,76.0,77.5,74.85,76.1,76.5,75.2,165631,12597195.7,20-APR-2012	
217628,GEOMETRIC,EQ,176.8,178.2,162.5,165.75,167.3,176.4,905433,152273305.4,20-APR-2015	
219521,GEOMETRIC,EQ,72.0,73.2,70.8,71.35,71.7,72.2,97647,7015509.9,20-AUG-2010	
221222,GEOMETRIC,EQ,69.0,72.5,68.2,71.9,72.45,70.0,61546,4400230.0,20-AUG-2013	
222990,GEOMETRIC,EQ,136.6,144.5,136.3,142.55,143.7,136.35,565245,79802025.2,20-AUG-2014	
223762,GEOMETRIC,EQ,47.05,48.0,46.25,46.7,47.15,47.5,30505,1423685.9,03-AUG-2011	
224944,GEOMETRIC,EQ,70.0,70.7,68.6,69.0,68.6,70.4,95146,6635329.4,20-DEC-2010	
226759,GEOMETRIC,EQ,45.65,47.4,45.5,45.55,45.7,45.6,65388,3003342.1,20-DEC-2011	
228647,GEOMETRIC,EQ,104.0,104.25,100.9,102.2,102.5,103.7,97379,9942587.3,20-DEC-2012	
228771,GEOMETRIC,EQ,131.5,134.9,131.5,132.35,132.3,131.95,220850,29399642.55,27-NOV-2014	
230534,GEOMETRIC,EQ,93.0,96.15,92.1,94.65,94.6,92.9,457909,43360460.0,20-DEC-2013	
232345,GEOMETRIC,EQ,102.6,110.85,102.6,107.3,107.5,102.7,477368,51349543.7,20-FEB-2013	
234231,GEOMETRIC,EQ,92.45,94.5,92.0,92.3,92.05,93.6,70372,6556786.35,20-FEB-2014	
236100,GEOMETRIC,EQ,142.2,148.9,137.0,146.75,145.6,142.4,1307395,188763370.85,20-FEB-2015	
237997,GEOMETRIC,EQ,74.0,79.7,72.15,78.75,79.45,75.0,192970,14906463.75,20-JAN-2011	
239818,GEOMETRIC,EQ,60.0,60.8,58.3,58.7,58.65,60.05,65896,3919265.45,20-JAN-2012	
241675,GEOMETRIC,EQ,97.0,103.8,96.45,103.2,103.45,98.3,584372,59418202.4,20-JAN-2014	
242227,GEOMETRIC,EQ,92.0,94.5,91.6,93.3,93.7,91.85,844814,79036759.55,03-AUG-2012	
243590,GEOMETRIC,EQ,134.5,137.5,133.35,133.9,133.85,134.5,354096,48058664.65,20-JAN-2015	
245549,GEOMETRIC,EQ,52.6,53.1,52.1,52.4,52.5,52.05,116369,6122761.7,20-JUL-2011	
247411,GEOMETRIC,EQ,72.6,73.3,71.6,72.1,71.75,72.6,58510,4227755.95,20-JUL-2012	
248083,GEOMETRIC,EQ,70.6,71.0,68.1,68.65,68.65,69.7,109614,7630166.7,27-OCT-2010	
249312,GEOMETRIC,EQ,118.3,120.85,115.35,117.65,117.1,118.6,675322,79356198.0,20-JUL-2015	
251228,GEOMETRIC,EQ,56.35,57.85,53.45,54.3,54.6,56.35,42413,2313925.25,20-JUN-2011	
253075,GEOMETRIC,EQ,67.65,70.25,67.6,69.2,68.85,67.95,74722,5166268.2,20-JUN-2012	
254930,GEOMETRIC,EQ,107.0,107.75,103.0,103.45,103.9,107.85,38871,4105374.4,20-JUN-2013	
256734,GEOMETRIC,EQ,137.1,138.25,133.0,133.85,134.15,137.05,133799,18176364.05,20-JUN-2014	
